episode, reward
0, -18968.8
1, -4396.24
2, -9572.6
3, -160412
4, -20019.4
5, -1464.08
6, -1148.52
7, -11385.6
8, -1895.28
9, -284.16
10, -1317.08
11, -8896.4
12, -9637.28
13, -3861.16
14, -870.2
15, -64.64
16, -3208.48
17, -1058.36
18, -7285.28
19, 2
20, -9835.24
21, -2559.72
22, -1017.2
23, -2489.16
24, -2853.72
25, -411.56
26, -2845.88
27, -1501.32
28, -60.72
29, -280.24
30, -1272
31, -1620.88
32, -531.12
33, -6897.2
34, -1356.28
35, -727.12
36, -3882.72
37, 31.4
38, -725.16
39, -135.2
40, -3181.04
41, -742.8
42, -221.44
43, 9.84
44, -246.92
45, -29.36
46, -182.24
47, -35.24
48, -2504.84
49, -2663.6
50, -278.28
51, -176.36
52, -4217.88
53, 21.6
54, -3288.84
55, -3061.48
56, -2222.6
57, -3880.76
58, -1795.32
59, -186.16
60, -734.96
61, -2900.76
62, -123.44
63, 54.92
64, -3414.28
65, -1160.28
66, -940.76
67, -27.4
68, -813.36
69, -172.44
70, -5.84
71, -74.44
72, 66.68
73, -2947.8
74, -1158.32
75, 39.24
76, -6718.84
77, -97.96
78, -133.24
79, 41.2
80, -311.6
81, -99.92
82, -141.08
83, -1669.88
84, -127.36
85, 2
86, 25.52
87, 29.44
88, 27.48
89, -974.08
90, -307.68
91, 41.2
92, -3063.44
93, 49.04
94, -595.8
95, 43.16
96, -70.52
97, -146.96
98, -609.52
99, -131.28
100, -572.28
101, -1479.76
102, -9.76
103, -278.28
104, -2044.24
105, -2185.36
106, -9.76
107, 25.52
108, -1324.92
109, 17.68
110, -1268.08
111, -421.36
112, 7.88
113, -176.36
114, -282.2
115, -25.44
116, -3335.88
117, -582.08
118, -127.36
119, 15.72
120, -4335.48
121, -346.88
122, -119.52
123, 0.04
124, -52.88
125, -17755.6
126, -2914.48
127, -168.52
128, 37.28
129, -141.08
130, -1505.24
131, -13.68
132, 60.8
133, -21.52
134, 43.16
135, -1264.16
136, -1469.96
137, 72.56
138, -82.28
139, -139.12
140, -1362.16
141, 70.6
142, -150.88
143, -787.88
144, -148.92
145, -123.44
146, -782
147, -466.44
