episode, reward
0, -12530.2
1, -4019.92
2, -9133.56
3, -1366.08
4, -895.68
5, -3171.24
6, -1801.2
7, -372.36
8, 11.8
9, -217.52
10, -27.4
11, -99.92
12, -83739
13, -22912.4
14, -11987.3
15, -13639.6
16, -12606.7
17, -1389.6
18, -2520.52
19, -13351.5
20, -3741.6
21, 54.92
22, -1360.2
23, -39.16
24, -10907.4
25, -9531.44
26, -88.16
27, -78.36
28, -1622.84
29, -162.64
30, -1475.84
31, -1036.8
32, -440.96
33, -666.36
34, -2338.24
35, -2007
36, -148.92
37, -33.28
38, -107.76
39, 17.68
40, -1932.52
41, -146.96
42, -129.32
43, -4292.36
44, -393.92
45, 3.96
46, -66.6
47, -2475.44
48, -2406.84
49, 2
50, -4713.76
51, 60.8
52, -3906.24
53, -666.36
54, -509.56
55, -780.04
56, -1419
57, -11.72
58, -123.44
59, -260.64
60, -5689.84
61, -311.6
62, 31.4
63, -2655.76
64, -2667.52
65, -1432.72
66, -3714.16
67, -6448.36
68, -552.68
69, -290.04
70, -1230.84
71, -3853.32
72, -1840.4
73, -3.88
74, -48.96
75, -117.56
76, -29.36
77, 19.64
78, -127.36
79, -4272.76
80, -339.04
81, -2210.84
82, -133.24
83, 5.92
84, -129.32
85, 3.96
86, -491.92
87, 66.68
88, -1068.16
89, -341
90, 13.76
91, -576.2
92, 33.36
93, -1181.84
94, 33.36
95, -25.44
96, -80.32
97, 23.56
98, -503.68
99, -1217.12
100, 27.48
101, -1397.44
102, 49.04
103, -617.36
104, 52.96
105, -1566
106, -372.36
107, -72.48
108, -2943.88
109, -599.72
110, -313.56
111, -192.04
112, 60.8
113, -266.52
114, -186.16
115, 23.56
116, 41.2
117, -13092.8
118, -2332.36
119, -1909
120, -205.76
121, -572.28
122, -762.4
123, -1993.28
124, -517.4
125, -1.92
126, 45.12
127, -1273.96
128, -2491.12
129, 31.4
130, -2616.56
131, -346.88
132, -25.44
133, 5.92
134, -3.88
135, -2169.68
136, 0.04
137, -41.12
138, -258.68
139, -1044.64
140, -41.12
141, 35.32
142, -827.08
143, 37.28
144, -131.28
145, 41.2
146, 5.92
147, 0.04
148, -2161.84
149, 70.6
150, 39.24
151, 72.56
152, 25.52
153, 58.84
154, 9.84
155, -41.12
156, 35.32
157, -1125
158, 39.24
159, -56.8
160, -4016
161, 35.32
162, 54.92
163, 54.92
164, 33.36
165, 47.08
166, -70.52
167, 21.6
168, 64.72
169, 74.52
170, 58.84
171, 56.88
172, 56.88
173, 56.88
174, 49.04
175, 43.16
176, 62.76
177, 70.6
178, 60.8
179, 60.8
180, 54.92
181, 60.8
182, 56.88
183, 39.24
184, 72.56
185, 31.4
186, 35.32
187, 11.8
188, -103.84
189, 56.88
190, 56.88
191, 19.64
192, -540.92
193, 60.8
194, 39.24
195, 66.68
196, 29.44
197, -315.52
198, -388.04
199, -578.16
200, 25.52
201, 64.72
202, 56.88
203, 13.76
204, 37.28
205, -2179.48
206, 19.64
207, 43.16
208, 66.68
209, -162.64
210, -7.8
211, 33.36
212, -1468
213, 70.6
214, 54.92
215, 58.84
216, 74.52
217, 49.04
218, 62.76
219, -770.24
220, 70.6
221, 56.88
222, 66.68
223, 21.6
224, 21.6
225, 54.92
226, -638.92
227, 49.04
228, 62.76
229, 72.56
230, 51
231, 17.68
232, 45.12
233, 19.64
234, 2
235, 52.96
236, 62.76
237, 51
238, 60.8
239, 54.92
240, -199.88
241, -1077.96
242, 49.04
243, 54.92
244, 52.96
245, 66.68
246, 70.6
247, 51
248, 62.76
249, 58.84
250, 70.6
251, 70.6
252, 29.44
253, 56.88
254, 51
255, 43.16
256, 70.6
257, 62.76
258, 54.92
259, 54.92
260, 43.16
261, 52.96
262, -1.92
263, 60.8
264, 70.6
265, 64.72
266, 64.72
267, 54.92
268, -388.04
269, 52.96
270, 49.04
271, 41.2
272, 47.08
273, 47.08
274, 58.84
275, 43.16
276, 56.88
277, 51
278, -482.12
279, 45.12
280, 41.2
281, 60.8
282, 51
283, 27.48
284, 62.76
285, 54.92
286, 15.72
287, 64.72
288, 58.84
289, 58.84
290, 35.32
291, -74.44
292, 51
293, 49.04
294, 60.8
295, 49.04
296, 15.72
297, 72.56
298, 41.2
299, 56.88
300, 66.68
301, -7.8
302, 47.08
303, 13.76
304, 52.96
305, 70.6
306, 47.08
307, 56.88
308, 54.92
309, 47.08
310, 21.6
311, 19.64
312, 58.84
313, 60.8
314, 60.8
315, 62.76
316, 58.84
317, 45.12
318, 49.04
319, 68.64
320, 64.72
321, 74.52
322, 49.04
323, 49.04
324, 74.52
325, 64.72
326, 43.16
327, 62.76
328, 64.72
329, 60.8
330, 25.52
331, 72.56
332, 58.84
333, 51
334, 62.76
335, 72.56
336, 68.64
337, 41.2
338, 70.6
339, 39.24
340, 51
341, 64.72
342, 68.64
343, 47.08
344, 51
345, 68.64
346, 41.2
347, 64.72
348, 62.76
349, 43.16
350, 62.76
351, 70.6
352, 51
353, 56.88
354, 25.52
355, 27.48
356, 70.6
357, 47.08
358, 45.12
359, 43.16
360, 47.08
361, 64.72
362, 66.68
363, 62.76
364, 62.76
365, 72.56
366, 45.12
367, 58.84
368, 76.48
369, 66.68
370, 70.6
371, 37.28
372, 49.04
373, 64.72
374, 51
375, 47.08
376, 47.08
377, 68.64
378, 58.84
379, 47.08
380, 49.04
381, 35.32
382, 62.76
383, 31.4
384, 60.8
385, 62.76
386, 45.12
387, 58.84
388, 47.08
389, 66.68
390, 56.88
391, 70.6
392, 52.96
393, 56.88
394, 47.08
395, 39.24
396, 47.08
397, 52.96
398, 52.96
399, 72.56
400, 33.36
401, 66.68
402, 41.2
403, 45.12
404, 58.84
405, 29.44
406, 27.48
407, 51
408, 52.96
409, 49.04
410, 70.6
411, 62.76
412, 37.28
413, 62.76
414, 43.16
415, 39.24
416, 64.72
417, 41.2
418, 41.2
419, 45.12
420, 62.76
421, 52.96
422, 60.8
423, 47.08
424, 31.4
425, 54.92
426, 54.92
427, 56.88
428, 47.08
429, 64.72
430, 41.2
431, 56.88
432, 52.96
433, 56.88
434, 41.2
435, 58.84
436, 62.76
437, 54.92
438, 35.32
439, 60.8
440, 54.92
441, 58.84
442, 58.84
443, 56.88
444, 58.84
445, 72.56
446, 37.28
447, 68.64
448, 37.28
449, 54.92
450, 31.4
451, 49.04
452, 19.64
453, 66.68
454, 66.68
455, 54.92
456, 60.8
457, 58.84
458, 52.96
459, 25.52
460, 64.72
461, 66.68
462, 52.96
463, 66.68
464, 70.6
465, 51
466, 64.72
467, 49.04
468, 54.92
469, 54.92
470, 58.84
471, 43.16
472, 54.92
473, 45.12
474, 60.8
475, 64.72
476, 60.8
477, 72.56
478, 51
479, 49.04
480, 54.92
481, 72.56
482, 21.6
483, 68.64
484, 68.64
485, 56.88
486, 39.24
487, 31.4
488, 62.76
489, 56.88
490, 56.88
491, 70.6
492, 47.08
493, 74.52
494, 37.28
495, 49.04
496, 45.12
497, 60.8
498, 66.68
499, 66.68
500, 39.24
501, 52.96
502, 58.84
503, 70.6
504, 58.84
505, 54.92
506, 47.08
507, 31.4
508, 47.08
509, 64.72
510, 47.08
511, 56.88
512, 60.8
513, 33.36
514, 58.84
515, 25.52
516, 47.08
517, 66.68
518, 52.96
519, 37.28
520, 41.2
521, 47.08
522, 62.76
523, 37.28
524, 58.84
525, 52.96
526, 43.16
527, 39.24
528, 56.88
529, 23.56
530, 52.96
