episode, reward
0, -15554.5
1, 0.04
2, -256.72
3, -215.56
4, -1948.2
5, -1362.16
6, -125.4
7, -787.88
8, -656.56
9, -597.76
10, -1287.68
11, -2173.6
12, -1513.08
13, -674.2
14, -482.12
15, -3684.76
16, -67049.6
17, -27218.5
18, -2259.84
19, -2389.2
20, -1707.12
21, -24213.8
22, -721.24
23, -5027.36
24, -1138.72
25, -954.48
26, -2126.56
27, -2853.72
28, -16403.2
29, -4868.6
30, -303.76
31, -499.76
32, -1309.24
33, -672.24
34, -233.2
35, -2861.56
36, -4104.2
37, -883.92
38, -2847.84
39, -940.76
40, -1730.64
41, -1689.48
42, -8620.04
43, -458.6
44, 17.68
45, -2363.72
46, -586
47, -76.4
48, -301.8
49, -64.64
50, -2792.96
51, -1407.24
52, -948.6
53, -570.32
54, -4743.16
55, -33.28
56, -2483.28
57, -2555.8
58, -4999.92
59, -264.56
60, -15076.3
61, -2383.32
62, -7418.56
63, -535.04
64, -54.84
65, -3941.52
66, -7765.48
67, -6075.96
68, -864.32
69, -235.16
70, -86.2
71, -374.32
72, -4282.56
73, -86.2
74, -2673.4
75, -82.28
76, -39.16
77, -50.92
78, -521.32
79, 27.48
80, -70.52
81, -31.32
82, -2189.28
83, -531.12
84, -2632.24
85, -54.84
86, -139.12
87, 27.48
88, -25.44
89, 25.52
90, 64.72
91, 51
92, 31.4
93, 64.72
94, -721.24
95, -103.84
96, -1030.92
97, 17.68
98, -384.12
99, 52.96
100, -1687.52
101, -5388
102, -838.84
103, -593.84
104, -145
105, -13.68
106, -4594.2
107, -96
108, -1191.64
109, -182.24
110, -160.68
111, -2738.08
112, 56.88
113, 31.4
114, -121.48
115, -2083.44
116, -270.44
117, -97.96
118, -246.92
119, -194
120, -244.96
121, -925.08
122, -501.72
123, -3330
124, -4455.04
125, -448.8
126, -519.36
127, -272.4
128, -88.16
129, -3.88
130, -54.84
131, -2228.48
132, -617.36
133, -1177.92
134, -393.92
135, -1058.36
136, 47.08
137, -62.68
138, -409.6
139, 21.6
140, -2706.72
141, -131.28
142, -105.8
143, -1562.08
144, -123.44
145, 72.56
146, 37.28
147, 72.56
148, 58.84
149, 0.04
150, -201.84
151, 58.84
152, 29.44
153, -388.04
154, -194
155, -125.4
156, 51
157, 45.12
158, 35.32
159, 11.8
160, 45.12
161, 58.84
162, -246.92
163, 52.96
164, 27.48
165, 64.72
166, 51
167, -94.04
168, 62.76
169, -201.84
170, -893.72
171, -1520.92
172, -393.92
173, -3829.8
174, -1705.16
175, -162.64
176, 51
177, 41.2
178, 70.6
179, 37.28
180, -194
181, 64.72
182, -687.92
183, -382.16
184, -86.2
185, 66.68
186, -68.56
187, 52.96
188, -1168.12
189, 39.24
190, 70.6
191, 39.24
192, -1526.8
193, -121.48
194, -932.92
195, 43.16
196, 49.04
197, -1699.28
198, 7.88
199, 19.64
200, -1989.36
201, 60.8
202, -109.72
203, 39.24
204, 70.6
205, 2
206, 58.84
207, 37.28
208, 2
209, 74.52
210, 51
211, 68.64
212, 52.96
213, 62.76
214, -78.36
215, -1126.96
216, -821.2
217, 7.88
218, 62.76
219, 47.08
220, 31.4
221, -609.52
222, -125.4
223, 64.72
224, 56.88
225, 51
226, -1209.28
227, -154.8
228, 45.12
229, 62.76
230, -1.92
231, 62.76
232, 37.28
233, -19.56
234, 11.8
235, 66.68
236, 62.76
237, -43.08
238, 11.8
239, 52.96
240, 62.76
241, -7.8
242, 54.92
243, 72.56
244, 47.08
245, -54.84
246, 58.84
247, 29.44
248, 54.92
249, 68.64
250, 13.76
251, 64.72
252, -33.28
253, 70.6
254, 37.28
255, -354.72
256, 64.72
257, 51
258, -813.36
259, 70.6
260, 51
261, -466.44
262, 54.92
263, 66.68
264, 52.96
265, 43.16
266, 52.96
267, 45.12
268, 47.08
269, 54.92
270, 51
271, 64.72
272, 39.24
273, 37.28
274, 47.08
275, 41.2
276, 39.24
277, 51
278, 35.32
279, 62.76
280, 51
281, 29.44
282, 51
283, 11.8
284, 58.84
285, 47.08
286, 41.2
287, 64.72
288, 60.8
289, 74.52
290, 47.08
291, 62.76
292, 43.16
293, 64.72
294, 66.68
295, 43.16
296, 54.92
297, 68.64
298, 54.92
299, 68.64
300, 52.96
301, 33.36
302, 9.84
303, 72.56
304, 60.8
305, -13.68
306, 33.36
307, 37.28
308, 49.04
309, 60.8
310, 52.96
311, 51
312, 54.92
313, 60.8
314, 25.52
315, 52.96
316, 54.92
317, 62.76
318, 70.6
319, 49.04
320, 52.96
321, 19.64
322, 49.04
323, 66.68
324, -37.2
325, 66.68
326, 27.48
327, 31.4
328, 68.64
329, 60.8
330, 37.28
331, 64.72
332, 54.92
333, 54.92
334, 45.12
335, 64.72
336, 58.84
337, -45.04
338, 37.28
339, 47.08
340, 56.88
341, 64.72
342, 21.6
343, 66.68
344, 60.8
345, 37.28
346, 45.12
347, 47.08
348, -7.8
349, 43.16
350, 62.76
351, 31.4
352, 66.68
353, 49.04
354, 54.92
355, 31.4
356, 72.56
357, 70.6
358, 70.6
359, 66.68
360, 45.12
361, 62.76
362, 68.64
363, 64.72
364, 74.52
365, 54.92
366, 64.72
367, 35.32
368, 13.76
369, 51
370, 47.08
371, 58.84
372, 45.12
373, 68.64
374, 49.04
375, 54.92
376, 51
377, 47.08
378, 60.8
379, 54.92
380, 58.84
381, 39.24
382, 60.8
383, 58.84
384, 60.8
385, 64.72
386, 64.72
387, 49.04
388, 66.68
389, 60.8
390, 78.44
391, 64.72
392, 68.64
393, 47.08
394, 49.04
395, 49.04
396, 62.76
397, 64.72
398, 35.32
399, 47.08
400, 70.6
401, 68.64
402, 74.52
403, 56.88
404, 62.76
405, 19.64
406, 35.32
407, 2
408, 58.84
409, 52.96
410, 35.32
411, 39.24
412, 51
413, 49.04
414, 52.96
415, 54.92
416, 62.76
417, 15.72
418, 70.6
419, 49.04
420, 43.16
421, 47.08
422, 68.64
423, 58.84
424, 52.96
425, 56.88
426, 43.16
427, 58.84
428, 49.04
429, 49.04
430, 68.64
431, 54.92
432, 68.64
433, 58.84
434, 56.88
435, 45.12
436, 23.56
437, 66.68
438, 66.68
439, 37.28
440, 66.68
441, 62.76
442, 45.12
443, 64.72
444, 56.88
445, 64.72
446, 62.76
447, 62.76
448, 52.96
449, 45.12
450, 78.44
451, 58.84
452, 9.84
453, 68.64
454, 45.12
455, 45.12
456, 56.88
457, 60.8
458, 45.12
459, 51
460, 49.04
461, 41.2
462, 62.76
463, 60.8
464, 39.24
465, 64.72
466, 52.96
467, 27.48
468, 68.64
469, 70.6
470, 54.92
471, 47.08
472, 70.6
473, 60.8
474, 58.84
475, 64.72
476, 70.6
477, 51
478, 62.76
479, 3.96
480, 64.72
481, 51
482, 66.68
483, 54.92
484, 27.48
485, 72.56
486, 62.76
487, 70.6
488, 68.64
489, 62.76
490, 45.12
491, 72.56
492, 41.2
493, 51
