episode, reward
0, -17892.8
1, -92.08
2, -276.32
3, 25.52
4, -141.08
5, -319.44
6, -1691.44
7, -1362.16
8, -1197.52
9, -64.64
10, -88.16
11, -138543
12, -1571.88
13, -1897.24
14, -40511.2
15, -1762
16, -4006.2
17, -2941.92
18, -276.32
19, -5542.84
20, -862.36
21, -876.08
22, -1307.28
23, -2930.16
24, -9833.28
25, -1383.72
26, -2306.88
27, -4976.4
28, -9676.48
29, -268.48
30, -6858
31, -550.72
32, -1918.8
33, -2124.6
34, -484.08
35, -542.88
36, -307.68
37, -203.8
38, -219.48
39, -999.56
40, -744.76
41, -587.96
42, -6264.12
43, -470.36
44, -88.16
45, -1236.72
46, -43.08
47, -5393.88
48, -1036.8
49, -2836.08
50, -66.6
51, -3081.08
52, -37.2
53, -64.64
54, -1758.08
55, -874.12
56, -5192
57, -821.2
58, -538.96
59, -235.16
60, -80.32
61, -188.12
62, -43.08
63, -1630.68
64, -12124.5
65, -656.56
66, 5.92
67, -748.68
68, -3786.68
69, -2624.4
70, -248.88
71, -968.2
72, -41.12
73, -15.64
74, -1356.28
75, 0.04
76, -82.28
77, -47
78, -1438.6
79, -5860.36
80, -6752.16
81, -207.72
82, 52.96
83, -92.08
84, -111.68
85, -52.88
86, -629.12
87, -199.88
88, -1054.44
89, -4845.08
90, -225.36
91, -339.04
92, -464.48
93, -633.04
94, -27.4
95, 47.08
96, -123.44
97, -45.04
98, -125.4
99, -103.84
100, 54.92
101, -129.32
102, -3137.92
103, -2238.28
104, -19.56
105, -472.32
106, -7310.76
107, 7.88
108, -748.68
109, -45.04
110, -1377.84
111, -78.36
112, -1083.84
113, -968.2
114, -1485.64
115, -1548.36
116, -909.4
117, -497.8
118, -562.48
119, -9.76
120, -280.24
121, 33.36
122, 41.2
123, 37.28
124, 2
125, -109.72
126, -174.4
127, -101.88
128, -342.96
129, -1064.24
130, -221.44
131, -1958
132, -623.24
133, -3774.92
134, -109.72
135, -964.28
136, -105.8
137, -572.28
138, -1669.88
139, -709.48
140, -646.76
141, -39.16
142, -109.72
143, -2130.48
144, -1066.2
145, -52.88
146, -48.96
147, -19.56
148, 58.84
149, -50.92
150, -117.56
151, -174.4
152, -4112.04
153, 0.04
154, -484.08
155, -881.96
156, -578.16
157, -384.12
158, -166.56
159, -272.4
160, -88.16
161, -813.36
162, -2377.44
163, -1050.52
164, -778.08
165, -1109.32
166, -1544.44
167, -3235.92
168, -241.04
169, -2091.28
170, -2265.72
171, -5613.4
172, -938.8
173, -627.16
174, -278.28
175, -1532.68
176, -597.76
177, -101.88
178, -184.2
179, -174.4
180, 54.92
181, -5.84
182, -78.36
183, 23.56
184, -92.08
185, 33.36
186, -90.12
187, -135.2
188, -431.16
189, 62.76
190, -2802.76
191, -58.76
192, 2
193, 41.2
194, -43.08
195, -13.68
196, -858.44
197, -2673.4
198, -162.64
199, -7.8
200, -80.32
201, -838.84
202, -3496.6
203, -2953.68
204, -1442.52
205, -178.32
206, -45.04
207, -860.4
208, -1609.12
209, -272.4
210, 31.4
211, -286.12
212, 33.36
213, -734.96
214, -50.92
215, 25.52
216, -17.6
217, -1756.12
218, 31.4
219, -2020.72
220, 9.84
221, -821.2
222, 47.08
223, 45.12
224, -39.16
225, 5.92
226, 62.76
227, -27.4
228, -64.64
229, -37.2
230, -90.12
231, 27.48
232, -52.88
233, -17.6
234, 3.96
235, 29.44
236, 37.28
237, 11.8
238, -37.2
239, 49.04
240, 45.12
241, 62.76
242, 15.72
243, -111.68
244, 2
245, -97.96
246, -840.8
247, -4247.28
248, -3537.76
249, -3676.92
250, -4672.6
251, 43.16
252, -1958
253, 41.2
254, -1254.36
255, 47.08
256, 33.36
257, -213.6
258, -425.28
259, 47.08
260, -305.72
261, -78.36
262, 2
263, -60.72
264, -427.24
265, -586
266, 13.76
267, -178.32
268, -135.2
269, 45.12
270, -250.84
271, 47.08
272, 2
273, -2301
274, 66.68
275, 3.96
276, -1532.68
277, -1967.8
278, -811.4
279, -915.28
280, 31.4
281, -909.4
282, -664.4
283, 2
284, -78.36
285, 21.6
286, -380.2
287, -1.92
288, 33.36
289, -43.08
290, 43.16
291, -921.16
292, -2571.48
293, -13.68
294, -3755.32
295, -78.36
296, 51
297, -803.56
298, -3665.16
299, -3800.4
300, -2655.76
301, -323.36
302, -39.16
303, 54.92
304, -1179.88
305, 45.12
306, 0.04
307, -62.68
308, 49.04
309, 43.16
310, 41.2
311, 25.52
312, -21.52
313, 68.64
314, 66.68
315, 39.24
316, 47.08
317, -2353.92
318, 52.96
319, 70.6
320, 56.88
321, 54.92
322, 64.72
323, 13.76
324, 47.08
325, -58.76
326, -227.32
327, 54.92
328, -103.84
329, -1885.48
330, -2161.84
331, -74.44
332, -1175.96
333, -1254.36
334, 29.44
335, 33.36
336, -33.28
337, 0.04
338, -82.28
339, -378.24
340, 23.56
341, -1560.12
342, -2277.48
343, -382.16
344, -221.44
345, 70.6
346, 13.76
347, -1301.4
348, -458.6
349, -770.24
350, 2
351, -217.52
352, -521.32
353, -1548.36
354, -143.04
355, 56.88
356, 25.52
357, -2206.92
358, 21.6
359, 27.48
360, -3130.08
361, -125.4
362, -8010.48
363, -250.84
364, -1362.16
365, -390
366, -41.12
367, 17.68
368, -103.84
369, -96
370, -58.76
371, 2
372, -41.12
373, -58.76
374, -1642.44
375, 49.04
376, -27.4
377, 9.84
378, 39.24
379, -105.8
380, 21.6
381, -11.72
382, -35.24
383, 25.52
384, 21.6
385, 45.12
386, 58.84
387, 58.84
388, 2
389, -1569.92
390, 64.72
391, 47.08
392, -72.48
393, 49.04
394, -2214.76
395, -115.6
396, -266.52
397, 23.56
398, 62.76
399, -58.76
400, -3982.68
401, -597.76
402, -70.52
403, -780.04
404, -435.08
405, 15.72
406, -13.68
407, -464.48
